Text,Lexicon,Emotion,Sentiment,Mood
support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
saw video cry mother pakistan literally begging see daughter treatment minority country,cry(eu),Sadness,Negative,Bad
imran khan pakistan phechaan,khan(ru),Fear,Negative,Bad
imran khan leading pakistan best possible way raising voice islamophobia ambassador kashmir islam pakistan international level made pakistani proud international level,khan(ru),Fear,Negative,Bad
former pak cricketer made shocking revelation seen consuming drug 1980s isnt first time khan accused drug july 2018 exwife alleged khan consumes drug,pak(ru),Trust,Positive,Good
imran khan prime minister pakistan also leader entire muslim ummah youth pakistan stand imran khan circumstance pmik last hope may protect,khan(ru),Fear,Negative,Bad
cant talk must ban french product record narrative time show macron power,talk(eu),Neutral,Positive,Moderate
pakistan garoor pakistan fakha pakistan primnister imran khan,khan(ru),Fear,Negative,Bad
imran khan launch mega cpec city project november multibillion dollar corridor connects chinese city kashgar pakistan gwadar port arabian sea,khan(ru),Fear,Negative,Bad
lahnat ayaz sadiq begairat ghatia logon party noon league love support imran khan pakistan zindabad india murdabad,ghatia(ru),Anger,Negative,Bad
imran khan,khan(ru),Fear,Negative,Bad
irony affair didnt 1burn effigy musharraf attack slap effigy nawaz shariff terror attack walk pic imran khan holding grudge gave,khan(ru),Fear,Negative,Bad
support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
france ambissidor must allowed pakistan enemy islam pakistan,allowed(eu),Neutral,Neutral,Moderate
seriously concerned rising case educational institute across especially,concerned(eu),Fear,Negative,Bad
also snort something imran khan consuming cannabis used london even home 1987 pakistan faced england cricket match bowl well,khan(ru),Fear,Negative,Bad
time implement strict ban social gathering like wedding cinema restaurant dine etc otherwise compromise economic activity nobody want,time(eu),Anticipation,Positive,Good
imran khan latest song bachnaa gharibo noto aashiq mulk dushman ada juda hoo,khan(ru),Fear,Negative,Bad
everyday wake watch news see politician embarrass today discussing imran khan body language love pakistan,khan(ru),Fear,Negative,Bad
imran khan phobic stew religious belief culture gilgitbaltistan thats tweet,khan(ru),Fear,Negative,Bad
rub hamary pakistan hifazat farmais islami mumlikat imran khan pti bacha,hifazt(ru),Trust,Positive,Good
imran khan leading pakistan best possible way raising voice islamophobia ambassador kashmir islam pakistan international level made pakistani proud international level,khan(ru),Fear,Negative,Bad
jealous people,jealous(eu),Anger,Negative,Bad
friend currently hospital covid19 shes school cleaner entire team infected hospitalized teacher also infected school open today many need die,team(ru),Trust,Positive,Good
indian muslim didnt burnt effigy musharraf kargil attack indian muslim didnt slap effigy nawaz shariff mumbai terror attack indian muslim didnt walk pic imran khan pulwama attack,khan(ru),Fear,Negative,Bad
safe hand leadership hand retweet agree flag pakistan smiling face smiling eye,safe(eu),Joy,Positive,Good
government announce list company france willing ban atleast stop buying otherwise people spreading incorrect info pakistani company calling made france,government(eu),Fear,Negative,Bad
great imran khan,khan(ru),Fear,Negative,Bad
usman siddique rajput support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
shahzad younus support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
islamophobia,lex not found,Neutral,Neutral,Moderate
anyone guide private school charging corona day fee,guide(eu),Trust,Positive,Good
wazeer aazam imran khan darkhwast plz karachi kemari area visit karen plz isko sudharne hamari madad karen shukriya,khan(ru),Fear,Negative,Bad
govt prime minister imran khan say government decided give provisional provincial status gilgitbaltistan keeping view security council unsc resolution,khan(ru),Fear,Negative,Bad
prime minister imran khan peace upon god mercy blessing upon prime minister mean muslim nation commits kind insolence honor beloved prophet muhammad peace upon severely punished,khan(ru),Fear,Negative,Bad
pef school payment din clear madina riasat haq ada karin,ada(ru),Fear,Negative,Bad
imran khan,khan(ru),Fear,Negative,Bad
today cnic card every citizen health card matter live permanent address covrd hlth schem called govt ppl ppl true spirit welf,today(eu),Neutral,Neutral,Moderate
gilgit baltistan new provisional province pakistan announced imran khan uniting pakistan going stronger ever leadership,khan(ru),Fear,Negative,Bad
313 thy bakamal thy duniya 241 zameer murda chukay,murda(ru),Disgust,Negative,Bad
support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
gilgit baltistan become 5th province provisional pakistan heartening news thank imran khan previous govts couldnt,khan(ru),Fear,Negative,Bad
talk pakistani discussed talk show teaching west,talk(eu),Neutral,Positive,Moderate
play chess let fun begin,fun(ru),Anticipation,Positive,Good
retweet krta jai tweet krai,lex not found,Neutral,Neutral,Moderate
private school mafia qanoon teht corona chuttio paisa,mafia(ru),Fear,Negative,Bad
pti sir please take notice,pti(ru),Neutral,Neutral,Moderate
retweet,lex not found,Neutral,Neutral,Moderate
shame selected,shame(eu),Disgust,Negative,Bad
think immediate election needed present circumstance still remember sirinath given lbw called descion unfair imran khan captain made historic descion give another life exhibit mind confidence,khan(ru),Fear,Negative,Bad
saw showg moslem demonstrate incited bigot boycottg french good mass cant afford issue wid secular value force u2staygo home dnt force medieval law,demonstrate(eu),Neutral,Neutral,Moderate
imran khan leading pakistan best possible way raising voice islamophobia ambassador kashmir islam pakistan international level made pakistani proud international level,khan(ru),Fear,Negative,Bad
imran khan leading pakistan best possible way raising voice islamophobia ambassador kashmir islam pakistan international level made pakistani proud international level,khan(ru),Fear,Negative,Bad
actually happened world really good humanity two nation responsible provoking genocide different country living 21st century act accountable person like terrorist,world(eu),Neutral,Neutral,Moderate
imran khan initiativehe gaining trust confidence people,khan(ru),Fear,Negative,Bad
shab meet waqar zaka crypto,meet(eu),Neutral,Neutral,Moderate
bod,lex not found,Neutral,Neutral,Moderate
hope,hope(eu),Anticipation,Positive,Good
imran khan leading pakistan best possible way raising voice islamophobia ambassador kashmir islam pakistan international level made pakistani proud international level,khan(ru),Fear,Negative,Bad
make fair system le corrupts,make(eu),Neutral,Neutral,Moderate
support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
think also support imran khan know easy people suffering hunger cause rising price food grocery etc look pakistan changewe also take look good deed,khan(ru),Fear,Negative,Bad
muhammad ali jinnah first internationally known leader,leader(eu),Trust,Positive,Good
please please imran khan ban france product,khan(ru),Fear,Negative,Bad
please cancel license worst company,cancel(eu),Sadness,Negative,Bad
imran khan humesha salamt rho hume atmad,khan(ru),Fear,Negative,Bad
support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
itihaas gavah hindu musalmaan seekh isai desh baat aaii dushmano hui tabahi sudhr jao sudharenge jesi neech soch nkli kaam factory valo lie hind sena kafi,tabahi(ru),Anger,Negative,Bad
pakistan vow grant provisional status gilgitbaltistan imran khan say govt grant provisional status portion disputed kashmir region angering india,khan(ru),Fear,Negative,Bad
dear please keep ayazsadiq put ecl may leave pak anytime soon phir jalson kehte rehna usko wapis layengay,pak(ru),Trust,Positive,Good
pmln started movement demand resignation imran khan people started resigning pmln,khan(ru),Fear,Negative,Bad
pakistan imran khan grant provisional provincial status gilgitbaltistan amid massive protest,khan(ru),Fear,Negative,Bad
firmly standing imran khan,khan(ru),Fear,Negative,Bad
happy birthday bro,happy(eu),Anticipation,Positive,Good
bycot france product sir see someone something prophet hope news channel help propote action,product(eu),Neutral,Neutral,Moderate
imran khan zindabad,khan(ru),Fear,Negative,Bad
aaje mahiya imran khan life rent free head,khan(ru),Fear,Negative,Bad
safe hand leadership retweet agree,safe(eu),Joy,Positive,Good
safe hand leadership retweet agree,safe(eu),Joy,Positive,Good
dear aam admi dont concern foreign policy making credibility green passport else concern sasti dallaata cheenibajli basic need plz something,dear(eu),Neutral,Positive,Moderate
imran khan,khan(ru),Fear,Negative,Bad
uturn,lex not found,Neutral,Neutral,Moderate
people missing abu dhabi pakistani government silent please help people labour category criminal record even police station could help tell dont know please help,people(eu),Neutral,Neutral,Moderate
pmln started movement demand resignation imran khan people started resigning pmln,khan(ru),Fear,Negative,Bad
gandu islam wahi hindu asnatan picture serial bataiga boycott,picture(eu),Neutral,Neutral,Moderate
indian muslim didnt burnt effigy musharraf kargil attack indian muslim didnt slap effigy nawaz shariff mumbai terror attack indian muslim didnt walk pic imran khan pulwama attack indian muslim holding massive rally,khan(ru),Fear,Negative,Bad
pmln,lex not found,Neutral,Neutral,Moderate
protest day kindly muhammad dont sort list france product public give public ouself probhet pbuh,protest(eu),Neutral,Neutral,Moderate
france imran khan,khan(ru),Fear,Negative,Bad
great leader imran khan,khan(ru),Fear,Negative,Bad
imran khan best leader pakistan imran khan,khan(ru),Fear,Negative,Bad
dont want france product anymore humble request great prime minister imran khan please publish list actual france product wan total boycott,khan(ru),Fear,Negative,Bad
started trending pakistan covid19 javeria dubai khan mask ameer hamza balochistan nawaz shareef lockdown imran china celebrity inshallah beshumar nadra islamophobic saudi arabia stay happy jammu kashmir google justice arteta biryani,khan(ru),Fear,Negative,Bad
request imran khan leader nagarparkar outsider village mondro leader dear need road light fully coverage network live many student university need fully network,khan(ru),Fear,Negative,Bad
1800 2300 2300,lex not found,Neutral,Neutral,Moderate
support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
sindh government time take action police ordered recover child keep safe custody also take legal action,government(eu),Fear,Negative,Bad
pef tbah murrad raas sahb keh pef zimdari nahil inssan tmhari zimdari pef system cheera hamry vote izaat imran khan sahb,khan(ru),Fear,Negative,Bad
jazakallah khaer sir,sir(eu),Trust,Positive,Good
imran khan,khan(ru),Fear,Negative,Bad
31gb 833 255 578,lex not found,Neutral,Neutral,Moderate
cant believe little troll tarek fatah keep speaking imran khan erdoan tarek fatah look like twin he jellyfish version spine,fatah(ru),Neutral,Neutral,Moderate
mrmurad ras abpef school owner teacher also belongs human beingthey childrenfamilyneed money surviveplz release arrears pef school,school(eu),Trust,Positive,Good
sindh government time take action police ordered recover child keep safe custody also take legal action,government(eu),Fear,Negative,Bad
murad ra incompetent minister instead bringing positive change education system destroying education system punjab,incompetent(eu),Anger,Negative,Bad
support pride prime minister islamic republic pakistan,pride(eu),Joy,Positive,Good
deprived salary month despite gaining prominent position paf school board,board(ru),Anticipation,Positive,Good
play chess let fun begin,fun(ru),Anticipation,Positive,Good
according monitoring november 2019 100 verified childrens payment made,verified(eu),Trust,Positive,Good
28900,lex not found,Neutral,Neutral,Moderate
imran khan pti ban france produts,khan(ru),Fear,Negative,Bad
criticize lot issue right voter let clear trust imran khan forever,khan(ru),Fear,Negative,Bad
support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
according monitoring november 2019 100 verified childrens payment made,verified(eu),Trust,Positive,Good
support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
former pakistan cricketer sarfraz nawaz say took cocaine infront,cocaine(eu),Sadness,Negative,Bad
gdp,lex not found,Neutral,Neutral,Moderate
bahi jahil gov judge harami qabo fake doc internet utha submit kiay ahal utar sakty log jaidad jawab pa sadar kam kuch,jahil(ru),Disgust,Negative,Bad
due murad ra log apki party chor rhy hein think pakistan education department,chor(ru),Disgust,Negative,Bad
fao april 1977 three chief armed force regular medium statement assured full support head democratic government officer removed bhutto hanged,chief(eu),Neutral,Neutral,Moderate
support pakistan support imran khan,khan(ru),Fear,Negative,Bad
french secularism support blasphemy religious people living learn tolerate otherwise live country abusing god law politician like erdogan imran khan invite people instead inciting,khan(ru),Fear,Negative,Bad
609 188 421,lex not found,Neutral,Neutral,Moderate
rising number case onset winter crucial reinforce elevate sop policy educational institution reassessed major urban centre like lahore karachi islamabad etc,rising(eu),Anticipation,Positive,Good
bod,lex not found,Neutral,Neutral,Moderate
isb rwp lhr khi,lex not found,Neutral,Neutral,Moderate
support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
pakistan need take action international issue show initiative cant talk must ban french product record narrative time show macron power,action(eu),Neutral,Positive,Moderate
42m school allowed new admission throughout year according capacity,school(eu),Trust,Positive,Good
hail pdm pdm raise voice local pakistan struggling tyranny imran khan hidden dictatorship general bajwa ghadaar,khan(ru),Fear,Negative,Bad
murad ross bent ruining pef personal stubbornness,bent(eu),Neutral,Neutral,Moderate
must worked rule political tool well recovered 465 mean recovered curruption money taken loan,rule(eu),Fear,Negative,Bad
fought taliban call obl martyr military fight terrorist say terrorist attack politician oppose military told kashmiri freedom fighter say pulwama attack terrorism,call(eu),Neutral,Neutral,Moderate
heck obducting child like legal country maybe tune little west little wonderful country thought,child(eu),Anticipation,Positive,Good
payment school building rent expense released soon possible,payment(eu),Neutral,Negative,Moderate
france product,product(eu),Neutral,Neutral,Moderate
call general election today likely win 23rd majority ever performance becuase hate people developed opposition party particular pmln,call(eu),Neutral,Neutral,Moderate
maryam safdar chez imran khan copy krni butt copy tiger force muqabla sher jawan force kio initiative copy gai yah sar paoun fake,khan(ru),Fear,Negative,Bad
aeos ss waiting regularization since 2014 govt showing totally irresponsible attitude,waiting(eu),Neutral,Neutral,Moderate
murad ra sahib antieducation policy led huge increase rate outofschool child,sahib(ru),Trust,Positive,Good
imran khan qamar bajwa must take action never,khan(ru),Fear,Negative,Bad
afgan governmnet issuing visa pakistani job holder pakistan issuing visa afghan plz take notice request afghan government issue visa white collar community stuck,visa(eu),Neutral,Neutral,Moderate
pakistan safe hand retweet agree,safe(eu),Joy,Positive,Good
education pakistan ruined due poor planning government,education(eu),Neutral,Neutral,Moderate
minister education murad ra please release payment pef teacher promise,minister(eu),Neutral,Neutral,Moderate
terrorism never end islam islamic terrorism inshallah never forgives,terrorism(eu),Anger,Negative,Bad
support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
play chess let fun begin,fun(ru),Anticipation,Positive,Good
1123 case reported last hour kpk alone 37649 covid positive patient going hostel increase spread virus either online exam exam cant risk life,case(eu),Fear,Negative,Bad
imran khan inaugurate health justice card november,khan(ru),Fear,Negative,Bad
railu kutta leader siraj haq phateechar jamaat islami also threatening long march islamabad want senate seat gifted 2hm gifted 2him rejected twice voter home constituency,kutta(ru),Anger,Negative,Bad
according monitoring november 2019 100 verified childrens payment made,verified(eu),Trust,Positive,Good
even trump loses ill miss first made look like he guest white house imran khan,khan(ru),Fear,Negative,Bad
school allowed new admission throughout year according capacity,school(eu),Trust,Positive,Good
payment school building rent expense released soon possible,payment(eu),Neutral,Negative,Moderate
according monitoring november 2019 100 verified childrens payment made,verified(eu),Trust,Positive,Good
murad ra promised pay arrears november fulfill,pay(eu),Anticipation,Positive,Good
murad ra sahib antieducation policy led huge increase rate outofschool child,sahib(ru),Trust,Positive,Good
someone shouldve dressed imran khan halloween scare whole nation,khan(ru),Fear,Negative,Bad
behad afsos bat pef partner hakumat lawaris dia sir minster bhot mahnat bachun parhaty time salry mil humy,behad(ru),Joy,Positive,Good
bicot france,lex not found,Neutral,Neutral,Moderate
imran khan till death may,khan(ru),Fear,Negative,Bad
prime minister imran khan release remaining four soon possible,khan(ru),Fear,Negative,Bad
imran khan name stuggle hardworking,khan(ru),Fear,Negative,Bad
jazz,lex not found,Neutral,Neutral,Moderate
imran khan band france product,khan(ru),Fear,Negative,Bad
expects hide fact rupee around 121 dollar 2018 strong dollar hovering pkr 162 doller pkr devaluated last two year,aground(ru),Fear,Negative,Bad
deprived salary month despite gaining prominent position paf school board,board(ru),Anticipation,Positive,Good
school allowed new admission throughout year according capacity,school(eu),Trust,Positive,Good
payment school building rent expense released soon possible,payment(eu),Neutral,Negative,Moderate
paf teacher die heart attack due nonpayment teacher,teacher(eu),Trust,Positive,Good
imran khan want replicate chinese model pakistan minus electoral politics imran khan must keep mind fate pakistan first dictator ayub khan intoduced system denied people basic democratic right basis pakistan creation,khan(ru),Fear,Negative,Bad
payment made paf teacher within two day set hunger strike camp school child,payment(eu),Neutral,Negative,Moderate
according monitoring november 2019 100 verified childrens payment made,verified(eu),Trust,Positive,Good
give time blueprintsbayforum update,time(eu),Anticipation,Positive,Good
1200 partner currently suffering mental anguish due nonpayment salary,partner(eu),Neutral,Positive,Moderate
due nonpayment arrears 200 teacher paf hunger strike,due(eu),Neutral,Neutral,Moderate
voted,lex not found,Neutral,Neutral,Moderate
murad ra promised pay arrears november fulfill,pay(eu),Anticipation,Positive,Good
murad ra sahib antieducation policy led huge increase rate outofschool child,sahib(ru),Trust,Positive,Good
prime minister imran khan release remaining four soon possible,khan(ru),Fear,Negative,Bad
murad ras stubbornness put educational future three million child stake,stubbornness(eu),Neutral,Neutral,Moderate
usman bazdar sahib please make full payment verified child payment hold past month,sahib(ru),Trust,Positive,Good
minister education murad ra please release payment pef teacher promise,minister(eu),Neutral,Neutral,Moderate
ensure implementation decision board director,board(ru),Anticipation,Positive,Good
paf school giving best result backward area punjab,school(eu),Trust,Positive,Good
three dollors compensation low increased,compensation(eu),Neutral,Neutral,Moderate
muradras punjab education foundation changed md year,education(eu),Neutral,Neutral,Moderate
murad ross bent ruining pef personal stubbornness,bent(eu),Neutral,Neutral,Moderate
fear god withheld salary last nine month,fear(eu),Anger,Negative,Bad
peef school backward area le blessing,school(eu),Trust,Positive,Good
punjab education foundation partner school giving annual 100 result,education(eu),Neutral,Neutral,Moderate
pakistan hakomat karny waly wazeer azam sub ziada kashmir muaqaf bayan imran khan,khan(ru),Fear,Negative,Bad
punjab education foundation partner school teaching 400 child free two year,education(eu),Neutral,Neutral,Moderate
worked past yr life tirelessly sleeplessly going destroy future decision personal gain see lie merit based system,past(eu),Neutral,Neutral,Moderate
punjab education foundation excellent institution brought brink disaster due incompetence minister education murad ross,education(eu),Neutral,Neutral,Moderate
minister education murad ra receives dollor monthly payment paid nine month please place payment order,minister(eu),Neutral,Neutral,Moderate
minister education murad ra please release payment paf teacher promise,minister(eu),Neutral,Neutral,Moderate
saved almost 20rs 10liters petrol today father asked thank,petrol(eu),Neutral,Neutral,Moderate
islamophobia france dont understand imran khan govt begging knee france deport 183 citizen back pakistan boycott french product pak boycott france completely even euro 500 million grant,khan(ru),Fear,Negative,Bad
foreign country learn canadian using right word freedom speechhe defended free speech added limit shouldnt arbitrarily needlessly hurt hope little bit grace get politician,foreign(eu),Neutral,Negative,Moderate
pointer pakistan minister say biggest victory imran khan government imran khan call osama martyr evidence required blacklist,khan(ru),Fear,Negative,Bad
election comission allowed setting mpa compaign election,election(eu),Neutral,Neutral,Moderate
damn care many time complaint life rent house without salary pay apply housing scheme,damn(eu),Anger,Negative,Bad
people opposition million vote nation think imran khan devil,khan(ru),Fear,Negative,Bad
major difference imran khan opposition party public trust imran khan,khan(ru),Fear,Negative,Bad
prime minister imran khan said diamerbhasha dam vital project water storage power generation increasing viability tarbella dam creating job opportunity strengthening economy,khan(ru),Fear,Negative,Bad
1996 imran khanthese teenager street powerone day 2020 maryam bibistudents better lead aggitation four time disqualified father moralsome student slow learner,street(eu),Neutral,Neutral,Moderate
play chess let fun begin,fun(ru),Anticipation,Positive,Good
france product completely,product(eu),Neutral,Neutral,Moderate
first said make pakistan like madina statethen said carry revolution country like iran interested form system like china pls stay place whatever like make country estabs experimental laboratory,make(eu),Neutral,Neutral,Moderate
maaf bhai etimaad maa behn chuka imran khan,bhai(ru),Trust,Positive,Good
may always pour shower blessing imran khan coas bajwa gen faiz hameed sahiban pakistan protect evil eye sort enemy internal external,khan(ru),Fear,Negative,Bad
despite politician stopped politically correct long time ago offending opposition including political correctness win war win war cost survival,politician(eu),Neutral,Neutral,Moderate
conduct ppsc exam nt recruited educator serving department year beyond logic injustice,conduct(eu),Neutral,Neutral,Moderate
gilgit baltistan new provisional province pakistan announced imran khan uniting pakistan going stronger ever leadership,khan(ru),Fear,Negative,Bad
support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
imagine azerbaijan bothered politically correct wealthier bigger nationswhere would todayprobably quest today nowhere,imagine(eu),Neutral,Neutral,Moderate
imran khan accounced provisional provincial statis mean,khan(ru),Fear,Negative,Bad
thief opposition speaking mean chief right people said responding recent remark opposition camp,thief(eu),Anger,Negative,Bad
support imran khan,khan(ru),Fear,Negative,Bad
imran khan best option right,khan(ru),Fear,Negative,Bad
imran khan pti,khan(ru),Fear,Negative,Bad
happen student contract corona exam kmu policy,happen(eu),Anticipation,Positive,Good
love imran khan,khan(ru),Fear,Negative,Bad
know muslim country open combat job woman well,country(eu),Neutral,Neutral,Moderate
proude hope love,hope(eu),Anticipation,Positive,Good
disgusting leader foolish leadership stupid supporter selected general,disgusting(eu),Anger,Negative,Bad
support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
who going give guarantee life hostel contract corona kmu promise save deadly corona virus case today 1100,guarantee(eu),Trust,Positive,Good
imran ahmed khan niazi 22nd current prime minister pakistan chairman pakistan tehreekeinsaf entering politics khan international cricketer captain pakistan national cricket team,khan(ru),Fear,Negative,Bad
imran khan announces provincial status gilgitbaltistan despite anger home opposition india recognised paks constitution part paks territory part pak become 5th province,khan(ru),Fear,Negative,Bad
janab imran khan sahab jop pary sahan jop dilwady pils,khan(ru),Fear,Negative,Bad
nt,lex not found,Neutral,Neutral,Moderate
choose imran khan ruler fight chosen otherwise leader entertaining patwaries telephone speech,khan(ru),Fear,Negative,Bad
imran khan person whoo thinking pakistan see thenn,khan(ru),Fear,Negative,Bad
support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
two member public uprising force killed two wounded car bomb blast near checkpoint rohani baba district paktia province sunday night local official said tolo news,baba(ru),Trust,Positive,Good
thanks youth related work,youth(eu),Anger,Positive,Bad
thanks trying save pakistan,save(eu),Joy,Positive,Good
prime minister imran khan announces provisional provincial status gilgitbaltistan,khan(ru),Fear,Negative,Bad
thanks giving hope,giving(eu),Neutral,Positive,Moderate
volunteer,volunteer(eu),Anticipation,Positive,Good
ban france product,ban(eu),Disgust,Negative,Bad
citizen ajk reject imran khan statement gilgit baltistan always part state jammu kashmir,khan(ru),Fear,Negative,Bad
plz make special hopital special childrens different problem full facility roof,make(eu),Neutral,Neutral,Moderate
gilgit baltistan sprt province said govt plan give provincial status gilgit baltistan upon longstanding demand people region,province(eu),Neutral,Neutral,Moderate
request,request(eu),Neutral,Neutral,Moderate
supported always support pakistan imran khan,khan(ru),Fear,Negative,Bad
aeos sse nt,lex not found,Neutral,Neutral,Moderate
support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
imran khan fulfilling decided breathe whether project shaukat khanum memorial hospital namal education city project testament imran khan unwavering determination struggle,khan(ru),Fear,Negative,Bad
love need imran khan best pakistan bless ameen,khan(ru),Fear,Negative,Bad
pti,pti(ru),Neutral,Neutral,Moderate
reject opposition antinational agenda imran khan put country path development,khan(ru),Fear,Negative,Bad
imran khan assures antistate element pakistan get due treatment,khan(ru),Fear,Negative,Bad
support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
imran khan loyalty homeland also gauged fact every supporter also supporter pakistan army,khan(ru),Fear,Negative,Bad
pollution caused spread many disease careful day think reduce pollution tell method clean green pakistan salute,pollution(eu),Disgust,Negative,Bad
voted,lex not found,Neutral,Neutral,Moderate
sarfraz nawaz stated indian channel imran khan drug addict since 1987 consumes variety wonder behaves like street goon filmy style challenge political opponent save pakistan,khan(ru),Fear,Negative,Bad
abide rule law blasphemy allowed people tolerance blasphemy allowed respect sentimemts simple arithmetic,abide(eu),Neutral,Neutral,Moderate
please back gilgit blatistam india going attack,back(eu),Neutral,Neutral,Moderate
mahatir mohamed erdogan imran khan owassi unhrc muslim hypocrite must make stand clear condition muslim china stupid silent last year,khan(ru),Fear,Negative,Bad
support prime minister islamic republic pakistan imran khan,khan(ru),Fear,Negative,Bad
want updated happening pakistan dont google neither search pak medium youtube watch care pakistan anyone,pak(ru),Trust,Positive,Good
imran khan buzdar please regularize sse teacher aeos without ppsc restlessness prevailing among 1100 ss aeos,khan(ru),Fear,Negative,Bad
telephonic conservation president erdogan prime minister imran khan,khan(ru),Fear,Negative,Bad
imran khan leader courage determination courage bring revolutionary change life poor,khan(ru),Fear,Negative,Bad
twitter frends asslamo elakom molana smeehul haq shahed khatme nbowet alfaz akhri yad hen imran khan zleel karay nasar saqeb ham freshta samjha iblees bacha nekla asya malhona azad dem fand khaya qazi gul rehman jui pakistan,khan(ru),Fear,Negative,Bad
must realize month last year covid spread like fire must realize real time take drastic measure,month(eu),Neutral,Neutral,Moderate
held unanimously rejected announcement pmpak give provincial status presence,unanimously(eu),Neutral,Neutral,Moderate
imran khan dawn opposition criticism prof appointed right people post army chief director general world know appoints pakistan,khan(ru),Fear,Negative,Bad
cant talk must ban french product record narrative time show macron power,talk(eu),Neutral,Positive,Moderate
cry mouthing india article 370 removal ahead claim pok province pakistan log zameer nahin world see hypocrisy imran khan worst pakistan moral value,khan(ru),Fear,Negative,Bad
obviously traitor like govt tell important information present decision taking leave government blackmailing question patrotism rise,traitor(eu),Anger,Negative,Bad
love need imran khan best pakistan bless ameen,khan(ru),Fear,Negative,Bad
policy system destroy future good people,policy(eu),Trust,Positive,Good
play chess let fun begin,fun(ru),Anticipation,Positive,Good
pdm,lex not found,Neutral,Neutral,Moderate
wish celebrate halloween scare others put pakistan national flag write jehad,scare(eu),Anger,Negative,Bad
salam mrprime minister president pakistan requested please take action france president nonsense mra pakistani hona nathy question automic power hona faidha rasool saw gusthaik zinda rahy,rasool(ru),Trust,Positive,Good
dumbs politician problem problem dump people keep voting,politician(eu),Neutral,Neutral,Moderate
imran khan buzdar please regularise sse teacher aeos without ppsc restlessness prevailing among 1100 ss aeo,khan(ru),Fear,Negative,Bad
deported sister chief shuja pasha among 180 pakistani seeking entry nation pay price bowing hus rogue state,sister(eu),Neutral,Neutral,Moderate
imran khan buzdar please regularise sse teacher aeos without ppsc restlessness prevailing among 1100 ss aeo,khan(ru),Fear,Negative,Bad
qaum dekhay mathay paseena aata taangen kanpti human mir jafar mir sadiq mir ayaz sadiq jese logon samna imran khan,samna(ru),Anticipation,Positive,Good
aeos ss waiting regularization since 2014 govt showing totally irresponsible attitude,waiting(eu),Neutral,Neutral,Moderate
qaum dekhay mathay paseena aata taangen kanpti human mir jafar mir sadiq mir ayaz sadiq jese logon samna imran khan,samna(ru),Anticipation,Positive,Good
think immediate election needed present circumstance still remember sirinath given lbw called descion unfair imran khan captain made historic descion give another life exhibit mind confidence,khan(ru),Fear,Negative,Bad
finally vigour revealed parliament wherein release avoid indian strike save incompetent face wise save sinking ship embarrassment,finally(eu),Anticipation,Positive,Good
princely state province supreme court high court new district court expand judicial system 200 divided province fee advocate reduce distance justice reduce,princely(eu),Anticipation,Positive,Good
cabinet minister attack shreya dene baad vipakshi keh election jeetne khud attack kervaya unka khilaaf byan tweet,baad(ru),Anger,Negative,Bad
welcome hafizabad imran khan november,khan(ru),Fear,Negative,Bad
islam mean peace peace phobia stand war peace humanity,peace(eu),Anticipation,Positive,Good
announcement provincial status effectively take moral high ground trying claim accusing changing constitutional status another self goal,announcement(eu),Anticipation,Positive,Good
behalf people gilgit baltistan pay tribute thank prime minister imran khan announcing provisional province year dream constitutional right came true loyalty sacrifice people honoured true leader,khan(ru),Fear,Negative,Bad
implement 35a send terrorist unfortunately state going leadership,implement(eu),Neutral,Neutral,Moderate
sir humbly requested amendment next election educated people good repute area investigation done like done recruiting soldier army serious lot come forward real progress evident,sir(eu),Trust,Positive,Good
joined school education department choice giving good result since last year regularise without ppsc test interview,joined(eu),Neutral,Positive,Moderate
imran khan popular pakistan love imran khan stand,khan(ru),Fear,Negative,Bad
declaration killing french people political ignorance immaturity siryou disconnect diplomatic relation france cant initiate war like situation world,declaration(eu),Neutral,Neutral,Moderate
year india made ut ladakh imran khan sunday announced decision make gilgitbaltistan region state territory provisional province pakistan silence even news missing srinagar daily ignorance uncle sam shush,khan(ru),Fear,Negative,Bad
allhamdulila muslim,lex not found,Neutral,Neutral,Moderate
